Date,Open,High,Low,Close,Adj Close,Volume
2002-11-11,0.281071,0.283750,0.270000,0.270714,0.230761,152975200
2002-11-12,0.273571,0.286429,0.272857,0.279286,0.238068,223792800
2002-11-13,0.276786,0.286964,0.272857,0.278393,0.237307,231739200
2002-11-14,0.283929,0.293036,0.281786,0.291071,0.248114,141713600
2002-11-15,0.289821,0.290000,0.281429,0.284821,0.242787,160994400
2002-11-18,0.289107,0.289286,0.277143,0.279464,0.238220,164578400
2002-11-19,0.277679,0.281250,0.268036,0.272679,0.232436,210952000
2002-11-20,0.273214,0.280357,0.272321,0.277321,0.236393,208740000
2002-11-21,0.283929,0.293571,0.281250,0.291964,0.248875,418482400
2002-11-22,0.287321,0.291071,0.283929,0.285893,0.243700,227858400
2002-11-25,0.286250,0.288214,0.280536,0.285179,0.243092,199427200
2002-11-26,0.283036,0.283929,0.272679,0.275179,0.234567,240262400
2002-11-27,0.278571,0.283214,0.275893,0.280714,0.239286,286798400
2002-11-29,0.281964,0.283571,0.275179,0.276786,0.235937,143432800
2002-12-02,0.283929,0.287500,0.268036,0.271071,0.231066,398742400
2002-12-03,0.271429,0.273929,0.269643,0.270714,0.230761,227869600
2002-12-04,0.271071,0.271250,0.258929,0.267321,0.227869,325757600
2002-12-05,0.268393,0.269286,0.259464,0.261250,0.222694,243398400
2002-12-06,0.261607,0.271250,0.259286,0.266964,0.227565,245358400
2002-12-09,0.266786,0.266964,0.261964,0.263393,0.224521,236084800
2002-12-10,0.263393,0.275893,0.263036,0.272857,0.232588,308610400
2002-12-11,0.273214,0.276607,0.269286,0.276607,0.235785,253500800
2002-12-12,0.276964,0.277679,0.268036,0.271250,0.231218,149340800
2002-12-13,0.270357,0.270536,0.261607,0.264107,0.225130,164780000
2002-12-16,0.264464,0.269643,0.260893,0.265179,0.226043,251624800
2002-12-17,0.265179,0.271250,0.261786,0.269286,0.229544,222661600
2002-12-18,0.264286,0.265357,0.258929,0.260179,0.221781,150701600
2002-12-19,0.259464,0.266429,0.251786,0.253571,0.216148,347519200
2002-12-20,0.255179,0.260000,0.246071,0.252500,0.215236,318096800
2002-12-23,0.252857,0.259821,0.252143,0.258750,0.220563,125826400
2002-12-24,0.257857,0.258393,0.255357,0.256429,0.218585,39340000
2002-12-26,0.257500,0.264464,0.255000,0.257143,0.219193,85422400
2002-12-27,0.255536,0.256786,0.250179,0.251071,0.214017,80035200
2002-12-30,0.251429,0.252679,0.247143,0.251250,0.214170,155041600
2002-12-31,0.250000,0.256429,0.249107,0.255893,0.218128,200726400
2003-01-02,0.256429,0.266429,0.256250,0.264286,0.225282,181428800
2003-01-03,0.264286,0.266607,0.260536,0.266071,0.226804,147453600
2003-01-06,0.268393,0.274643,0.265714,0.266071,0.226804,390532800
2003-01-07,0.264107,0.267857,0.258393,0.265179,0.226043,342344800
2003-01-08,0.260357,0.262679,0.257857,0.259821,0.221476,229644800
2003-01-09,0.261071,0.266429,0.258929,0.262143,0.223455,215252800
2003-01-10,0.260357,0.264643,0.258750,0.262857,0.224064,175100800
2003-01-13,0.266071,0.266071,0.256429,0.261250,0.222694,178942400
2003-01-14,0.262321,0.264643,0.258750,0.260893,0.222390,186860800
2003-01-15,0.260536,0.262500,0.254643,0.257679,0.219650,371128800
2003-01-16,0.253750,0.263571,0.253750,0.261071,0.222542,559070400
2003-01-17,0.260000,0.260000,0.251429,0.251786,0.214627,266761600
2003-01-21,0.253750,0.257321,0.250000,0.250357,0.213409,253456000
2003-01-22,0.249643,0.252679,0.246429,0.247857,0.211278,215140800
2003-01-23,0.250893,0.256429,0.249107,0.253036,0.215692,228256000
2003-01-24,0.254286,0.254286,0.242143,0.246429,0.210060,305468800
2003-01-27,0.244286,0.258929,0.243750,0.252321,0.215083,391406400
2003-01-28,0.254286,0.262321,0.252857,0.260357,0.221933,286255200
2003-01-29,0.259821,0.269643,0.255357,0.266607,0.227261,373044000
2003-01-30,0.267500,0.269107,0.255179,0.255714,0.217975,407058400
2003-01-31,0.253393,0.259821,0.250893,0.256429,0.218585,341224800
2003-02-03,0.257321,0.266250,0.256250,0.261786,0.223151,264784800
2003-02-04,0.258036,0.261607,0.255536,0.260714,0.222237,317413600
2003-02-05,0.262679,0.266607,0.257857,0.258036,0.219955,221614400
2003-02-06,0.256429,0.260536,0.253929,0.257679,0.219650,179149600
2003-02-07,0.259821,0.260714,0.251250,0.252679,0.215388,269701600
2003-02-10,0.254643,0.260179,0.251071,0.256250,0.218432,167888000
2003-02-11,0.258929,0.261250,0.253571,0.256250,0.218432,164780000
2003-02-12,0.254821,0.260714,0.254821,0.256964,0.219041,228687200
2003-02-13,0.257321,0.261429,0.254286,0.259643,0.221324,208493600
2003-02-14,0.260893,0.262857,0.256250,0.261964,0.223303,243297600
2003-02-18,0.263393,0.273214,0.262857,0.272679,0.232436,290897600
2003-02-19,0.269107,0.270536,0.262143,0.265179,0.226043,240368800
2003-02-20,0.265179,0.267143,0.262679,0.263750,0.224825,224352800
2003-02-21,0.264643,0.268929,0.261607,0.267857,0.228326,157444000
2003-02-24,0.265357,0.268393,0.246429,0.263214,0.224368,180252800
2003-02-25,0.262143,0.269286,0.260357,0.268214,0.228630,188641600
2003-02-26,0.267679,0.268214,0.258571,0.258929,0.220716,217095200
2003-02-27,0.260179,0.267857,0.259107,0.265357,0.226195,154341600
2003-02-28,0.265357,0.269464,0.263750,0.268036,0.228479,195098400
2003-03-03,0.268036,0.270714,0.259821,0.261607,0.222998,203761600
2003-03-04,0.263214,0.264464,0.257857,0.260000,0.221629,126414400
2003-03-05,0.260893,0.264286,0.259286,0.261071,0.222542,126683200
2003-03-06,0.260357,0.260714,0.257143,0.260000,0.221629,99859200
2003-03-07,0.258393,0.262679,0.255536,0.259464,0.221172,200984000
2003-03-10,0.259107,0.261964,0.255357,0.256607,0.218736,134573600
2003-03-11,0.256429,0.258750,0.252143,0.254107,0.216605,161190400
2003-03-12,0.253036,0.256964,0.251071,0.253929,0.216454,222560800
2003-03-13,0.258393,0.264286,0.253036,0.262857,0.224064,335445600
2003-03-14,0.262143,0.268036,0.261429,0.263929,0.224978,153098400
2003-03-17,0.265893,0.269107,0.262679,0.268036,0.228479,399912800
2003-03-18,0.267857,0.269464,0.264643,0.267857,0.228326,229980800
2003-03-19,0.269107,0.270536,0.264107,0.266964,0.227565,141316000
2003-03-20,0.266607,0.267679,0.260714,0.266250,0.226956,163178400
2003-03-21,0.269464,0.270536,0.264643,0.267857,0.228326,297948000
2003-03-24,0.261964,0.264286,0.256250,0.256607,0.218736,161100800
2003-03-25,0.257321,0.264821,0.256607,0.259821,0.221476,167697600
2003-03-26,0.259821,0.260000,0.255357,0.257321,0.219345,178343200
2003-03-27,0.255714,0.262500,0.255714,0.258750,0.220563,122393600
2003-03-28,0.257143,0.261071,0.256607,0.260179,0.221781,145303200
2003-03-31,0.255893,0.259464,0.250714,0.252500,0.215236,256659200
2003-04-01,0.253571,0.255536,0.251250,0.252857,0.215540,154341600
2003-04-02,0.256429,0.262321,0.254821,0.260714,0.222237,171371200
2003-04-03,0.260000,0.262500,0.256250,0.258214,0.220106,145712000
2003-04-04,0.259286,0.261964,0.256964,0.257321,0.219345,146020000
2003-04-07,0.265179,0.266964,0.257321,0.258750,0.220563,196862400
2003-04-08,0.259107,0.261607,0.256429,0.258036,0.219955,128934400
2003-04-09,0.259286,0.261071,0.252500,0.253393,0.215997,146725600
2003-04-10,0.253571,0.256964,0.253571,0.256607,0.218736,107100000
2003-04-11,0.250893,0.257857,0.230893,0.235714,0.200927,1392708800
2003-04-14,0.244821,0.245536,0.241071,0.242500,0.206711,502958400
2003-04-15,0.242679,0.242857,0.237500,0.239107,0.203819,303968000
2003-04-16,0.231964,0.244107,0.230714,0.236429,0.201536,1016176000
2003-04-17,0.235714,0.236607,0.227143,0.234286,0.199710,616257600
2003-04-21,0.234464,0.235536,0.231786,0.234643,0.200014,152320000
2003-04-22,0.235357,0.243214,0.233750,0.241250,0.205646,300568800
2003-04-23,0.241607,0.243393,0.238571,0.242500,0.206711,209680800
2003-04-24,0.241429,0.243036,0.232143,0.240000,0.204580,325108000
2003-04-25,0.240357,0.242500,0.236250,0.238393,0.203210,205318400
2003-04-28,0.240714,0.249286,0.239821,0.247500,0.210973,636798400
2003-04-29,0.249643,0.252857,0.242500,0.251071,0.214017,458236800
2003-04-30,0.248750,0.256250,0.247321,0.253929,0.216454,458175200
2003-05-01,0.254464,0.256964,0.250000,0.256429,0.218585,342759200
2003-05-02,0.258214,0.260536,0.256071,0.258036,0.219955,321182400
2003-05-05,0.263750,0.301429,0.263393,0.287321,0.244918,1555708000
2003-05-06,0.287857,0.319643,0.287500,0.312500,0.266381,1514492000
2003-05-07,0.309464,0.325714,0.305536,0.315179,0.268664,1054379200
2003-05-08,0.316071,0.322679,0.308750,0.321429,0.273992,687736000
2003-05-09,0.327321,0.328571,0.319286,0.326786,0.278558,588386400
2003-05-12,0.324107,0.334643,0.323750,0.331429,0.282516,419372800
2003-05-13,0.329107,0.338750,0.320536,0.333393,0.284190,446796000
2003-05-14,0.336250,0.336429,0.329107,0.331250,0.282363,355488000
2003-05-15,0.332143,0.336607,0.329821,0.334464,0.285103,284995200
2003-05-16,0.331964,0.339464,0.326429,0.335714,0.286169,341628000
2003-05-19,0.330893,0.333036,0.322500,0.323214,0.275513,445888800
2003-05-20,0.323214,0.324286,0.314286,0.317679,0.270795,416220000
2003-05-21,0.317679,0.323036,0.315536,0.318750,0.271708,305009600
2003-05-22,0.319464,0.328571,0.316786,0.325714,0.277644,178460800
2003-05-23,0.325179,0.329643,0.320714,0.327143,0.278863,206718400
2003-05-27,0.320714,0.337500,0.319821,0.337143,0.287387,290130400
2003-05-28,0.330357,0.333214,0.324107,0.326429,0.278254,339679200
2003-05-29,0.326607,0.330357,0.319643,0.323214,0.275513,333765600
2003-05-30,0.323571,0.324643,0.313036,0.320536,0.273231,382748800
2003-06-02,0.323214,0.326607,0.308393,0.311607,0.265619,418588800
2003-06-03,0.311429,0.315536,0.303929,0.309107,0.263488,360858400
2003-06-04,0.308929,0.317679,0.306071,0.314286,0.267903,271202400
2003-06-05,0.311607,0.316786,0.309464,0.315000,0.268512,205497600
2003-06-06,0.316786,0.322143,0.306071,0.306250,0.261053,241388000
2003-06-09,0.302500,0.304286,0.296964,0.299821,0.255573,259952000
2003-06-10,0.301607,0.308750,0.299107,0.306786,0.261510,176646400
2003-06-11,0.306250,0.312679,0.300179,0.311607,0.265619,225114400
2003-06-12,0.313393,0.319286,0.311607,0.317321,0.270490,252588000
2003-06-13,0.316964,0.320536,0.305893,0.311071,0.265162,191245600
2003-06-16,0.314286,0.326250,0.311607,0.326250,0.278101,238526400
2003-06-17,0.328750,0.330357,0.321250,0.324821,0.276883,177464000
2003-06-18,0.329464,0.347857,0.326964,0.341429,0.291040,454983200
2003-06-19,0.345714,0.350179,0.335179,0.341786,0.291344,381528000
2003-06-20,0.345536,0.349643,0.337500,0.342857,0.292258,356546400
2003-06-23,0.344643,0.351607,0.334821,0.340357,0.290126,307361600
2003-06-24,0.347679,0.351250,0.334286,0.335357,0.285864,514382400
2003-06-25,0.336786,0.346429,0.334107,0.340893,0.290583,329812000
2003-06-26,0.333929,0.345000,0.333929,0.344464,0.293627,161705600
2003-06-27,0.344643,0.344821,0.330000,0.334464,0.285103,365792000
2003-06-30,0.333571,0.343036,0.331964,0.340357,0.290126,222152000
2003-07-01,0.336964,0.342500,0.330536,0.340893,0.290583,180992000
2003-07-02,0.339821,0.346429,0.339643,0.344107,0.293323,325298400
2003-07-03,0.339286,0.349107,0.338929,0.341607,0.291192,137771200
2003-07-07,0.344107,0.360357,0.341607,0.354821,0.302456,286272000
2003-07-08,0.348571,0.366071,0.348036,0.364286,0.310524,256737600
2003-07-09,0.360893,0.365179,0.355179,0.355179,0.302761,213645600
2003-07-10,0.355000,0.356071,0.345893,0.349643,0.298042,170934400
2003-07-11,0.351071,0.357143,0.348750,0.354464,0.302151,136858400
2003-07-14,0.357321,0.364286,0.354821,0.355357,0.302913,188406400
2003-07-15,0.357500,0.361429,0.346964,0.350179,0.298499,206645600
2003-07-16,0.356607,0.357143,0.346071,0.354821,0.302456,250930400
2003-07-17,0.360536,0.374107,0.359464,0.373214,0.318134,751212000
